RIEPILOGO SESSIONE S03
Data: 31/01/2026 17:58:07
Modalità: Manuale
------------------------------------------------------------
NOME FILE                           | PARAMETRO (Hz) 
------------------------------------------------------------
S03DATA0000_Hz00_000.bin            | 0.000          
S03DATA0001_Hz00_000.bin            | 0.000          
S03DATA0002_Hz00_000.bin            | 0.000          
S03DATA0003_Hz00_000.bin            | 0.000          
S03DATA0004_Hz00_000.bin            | 0.000          
S03DATA0005_Hz00_000.bin            | 0.000          
S03DATA0006_Hz00_000.bin            | 0.000          
S03DATA0007_Hz00_000.bin            | 0.000          
S03DATA0008_Hz00_000.bin            | 0.000          
S03DATA0009_Hz00_000.bin            | 0.000          
