RIEPILOGO SESSIONE S02
Data: 07/02/2026 20:58:33
Modalità: Automatica
------------------------------------------------------------
NOME FILE                           | PARAMETRO (Hz) 
------------------------------------------------------------
S02DATA0000_Hz05_200.bin            | 5.200          
S02DATA0001_Hz05_300.bin            | 5.300          
S02DATA0002_Hz05_400.bin            | 5.400          
S02DATA0003_Hz05_500.bin            | 5.500          
S02DATA0004_Hz05_600.bin            | 5.600          
S02DATA0005_Hz05_700.bin            | 5.700          
S02DATA0006_Hz05_800.bin            | 5.800          
S02DATA0007_Hz05_900.bin            | 5.900          
S02DATA0008_Hz06_000.bin            | 6.000          
S02DATA0009_Hz06_100.bin            | 6.100          
S02DATA0010_Hz06_200.bin            | 6.200          
S02DATA0011_Hz06_300.bin            | 6.300          
S02DATA0012_Hz06_400.bin            | 6.400          
S02DATA0013_Hz06_500.bin            | 6.500          
S02DATA0014_Hz06_600.bin            | 6.600          
S02DATA0015_Hz06_700.bin            | 6.700          
S02DATA0016_Hz06_800.bin            | 6.800          
S02DATA0017_Hz06_900.bin            | 6.900          
S02DATA0018_Hz07_000.bin            | 7.000          
S02DATA0019_Hz07_100.bin            | 7.100          
S02DATA0020_Hz07_200.bin            | 7.200          
S02DATA0021_Hz07_300.bin            | 7.300          
S02DATA0022_Hz07_400.bin            | 7.400          
S02DATA0023_Hz07_500.bin            | 7.500          
S02DATA0024_Hz07_600.bin            | 7.600          
S02DATA0025_Hz07_700.bin            | 7.700          
S02DATA0026_Hz07_800.bin            | 7.800          
S02DATA0027_Hz07_900.bin            | 7.900          
S02DATA0028_Hz08_000.bin            | 8.000          
S02DATA0029_Hz08_100.bin            | 8.100          
S02DATA0030_Hz08_200.bin            | 8.200          
S02DATA0031_Hz08_300.bin            | 8.300          
S02DATA0032_Hz08_400.bin            | 8.400          
S02DATA0033_Hz08_500.bin            | 8.500          
S02DATA0034_Hz08_600.bin            | 8.600          
S02DATA0035_Hz08_700.bin            | 8.700          
S02DATA0036_Hz08_800.bin            | 8.800          
S02DATA0037_Hz08_900.bin            | 8.900          
S02DATA0038_Hz09_000.bin            | 9.000          
S02DATA0039_Hz09_100.bin            | 9.100          
S02DATA0040_Hz09_200.bin            | 9.200          
S02DATA0041_Hz09_300.bin            | 9.300          
S02DATA0042_Hz09_400.bin            | 9.400          
S02DATA0043_Hz09_500.bin            | 9.500          
S02DATA0044_Hz09_600.bin            | 9.600          
S02DATA0045_Hz09_700.bin            | 9.700          
S02DATA0046_Hz09_800.bin            | 9.800          
S02DATA0047_Hz09_900.bin            | 9.900          
S02DATA0048_Hz10_000.bin            | 10.000         
S02DATA0049_Hz10_100.bin            | 10.100         
S02DATA0050_Hz10_200.bin            | 10.200         
S02DATA0051_Hz10_300.bin            | 10.300         
S02DATA0052_Hz10_400.bin            | 10.400         
S02DATA0053_Hz10_500.bin            | 10.500         
S02DATA0054_Hz10_600.bin            | 10.600         
S02DATA0055_Hz10_700.bin            | 10.700         
S02DATA0056_Hz10_800.bin            | 10.800         
S02DATA0057_Hz10_900.bin            | 10.900         
S02DATA0058_Hz11_000.bin            | 11.000         
S02DATA0059_Hz11_100.bin            | 11.100         
S02DATA0060_Hz11_200.bin            | 11.200         
S02DATA0061_Hz11_300.bin            | 11.300         
S02DATA0062_Hz11_400.bin            | 11.400         
S02DATA0063_Hz11_500.bin            | 11.500         
