RIEPILOGO SESSIONE S03
Data: 07/02/2026 16:12:10
Modalità: Automatica
------------------------------------------------------------
NOME FILE                           | PARAMETRO (Hz) 
------------------------------------------------------------
S03DATA0000_Hz00_850.bin            | 0.850          
S03DATA0001_Hz00_860.bin            | 0.860          
S03DATA0002_Hz00_870.bin            | 0.870          
S03DATA0003_Hz00_880.bin            | 0.880          
S03DATA0004_Hz00_890.bin            | 0.890          
S03DATA0005_Hz00_900.bin            | 0.900          
S03DATA0006_Hz00_910.bin            | 0.910          
S03DATA0007_Hz00_920.bin            | 0.920          
S03DATA0008_Hz00_930.bin            | 0.930          
S03DATA0009_Hz00_940.bin            | 0.940          
S03DATA0010_Hz00_950.bin            | 0.950          
