RIEPILOGO SESSIONE S01
Data: 10/02/2026 08:58:19
Modalità: Manuale
------------------------------------------------------------
NOME FILE                           | PARAMETRO (Hz) 
------------------------------------------------------------
S01DATA0000_Hz00_000.bin            | 0.000          
S01DATA0001_Hz00_000.bin            | 0.000          
S01DATA0002_Hz00_000.bin            | 0.000          
S01DATA0003_Hz00_000.bin            | 0.000          
S01DATA0004_Hz00_000.bin            | 0.000          
S01DATA0005_Hz00_000.bin            | 0.000          
S01DATA0006_Hz00_000.bin            | 0.000          
S01DATA0007_Hz00_000.bin            | 0.000          
S01DATA0008_Hz00_000.bin            | 0.000          
S01DATA0009_Hz00_000.bin            | 0.000          
